GR,AC,DEN,CNL,LLD,LLS,CAL,Type
154.069,260.635,2.579,23.774,61.011,49.593,24.356,C
157.943,276.435,2.514,25.108,62.09,49.673,24.389,C
155.394,293.842,2.397,27.541,71.385,55.793,24.404,C
145.404,304.742,2.241,32.11,95.975,74.62,24.491,C
133.034,304.978,2.092,38.263,136.621,111.535,24.524,C
124.25,294.219,2.017,39.696,177.732,159.079,24.544,C
120.638,274.989,2.054,33.095,191.086,188.199,24.534,C
120.642,252.511,2.194,26.132,169.653,182.403,24.521,C
123.906,235.737,2.386,22.816,129.073,147.257,24.483,C
129.617,227.629,2.531,21.785,96.396,112.157,24.486,C
136.033,226.684,2.596,21.956,78.597,90.369,24.486,C
148.999,349.664,1.855,45.832,9071.022,3732.677,27.828,C
145.926,354.62,1.79,46.979,11297,4542.776,27.91,C
140.98,360.547,1.76,46.109,13301.027,5232.297,27.96,C
134.832,366.353,1.74,45.972,15464.814,5904.786,27.996,C
128.498,370.059,1.711,47.343,18196.377,6590.796,28.039,C
122.76,369.777,1.675,49.284,24422.627,7440.288,28.095,C
116.766,368.147,1.651,50.148,35722.352,8604.142,28.153,C
110.029,366.704,1.654,49.568,50202.371,10014.063,28.181,C
103.789,366.228,1.676,48.008,64182.676,11326.994,28.214,C
99.806,366.763,1.69,45.864,74818.867,12255.193,28.227,C
99.355,367.281,1.686,43.9,80143.172,12709.703,28.214,C
101.927,366.665,1.681,43.559,82263.711,12959.829,28.209,C
105.254,365.431,1.688,45.147,84930.055,13441.896,28.128,C
107.334,364.155,1.703,47.731,90735.914,14864.05,28.103,C
108.093,363.152,1.704,49.581,96839.516,17682.811,28.042,C
108.569,362.279,1.678,50.771,99756.148,21522.07,27.978,C
109.091,360.042,1.627,51.756,99990,24920.289,27.948,C
109.802,355.942,1.574,51.86,99525.07,26057.182,27.902,C
112.637,351.203,1.533,50.809,95718.625,24230.693,27.902,C
120.416,347.769,1.515,49.67,81868.992,20040.363,27.884,C
129.793,347.769,1.521,49.309,58515.969,15155.988,27.866,C
133.639,353.279,1.536,49.472,32313.883,10423.96,27.77,C
125.401,363.634,1.527,50.089,13624.978,6370.787,27.714,C
108.921,374.779,1.483,51.643,4403.538,3312.575,27.648,C
92.92,383.209,1.44,53.174,1496.389,1515.746,27.625,C
85.623,385.784,1.45,52.785,631.089,719.016,27.633,C
86.361,380.077,1.503,51.25,393.916,441.813,27.65,C
89.861,363.588,1.551,49.926,330.639,366.307,29.464,C
91.984,339.706,1.565,48.827,280.113,317.991,27.422,C
94.847,312.141,1.579,47.147,215.104,255.444,26.894,C
103.337,284.104,1.653,44.18,149.743,185.216,26.84,C
115.951,259.851,1.787,40.637,103.478,130.484,26.685,C
127.987,243.681,1.977,37.597,77.164,96.514,26.492,C
134.579,239.656,2.211,36.149,64.452,79.008,26.264,C
90.813,405.808,1.751,47.52,1111.016,1032.2,28.047,C
71.135,422.143,1.534,49.937,1649.589,1581.783,28.044,C
58.758,422.313,1.361,52.717,1843.464,1860.276,28.054,C
58.549,409.249,1.271,54.079,1545.592,1665.214,28.092,C
65.921,389.411,1.264,53.002,1066.372,1225.324,28.575,C
76.359,371.831,1.325,51.215,728.258,864.919,31.58,C
91.747,367.695,1.426,51.372,653.684,755.519,32.769,C
98.611,373.543,1.542,53.323,754.541,842.076,29.624,C
95.174,381.277,1.61,54.472,946.409,1048.629,28.318,C
88.024,384.77,1.56,53.512,1054.873,1199.815,28.13,C
88.044,380.618,1.478,51.733,966.339,1141.614,28.113,C
100.527,369.735,1.451,50.523,725.063,887.097,28.227,C
122.043,360.256,1.508,50.648,520.872,637.247,28.212,C
142.085,356.342,1.616,51.266,449.667,528.936,28.659,C
152.238,357.179,1.731,51.514,497.129,563.663,28.153,C
150.492,360.679,1.792,51.209,606.565,677.734,28.016,C
142.096,364.228,1.79,51.156,719.263,806.513,27.998,C
133.478,366.353,1.781,52.078,767.496,872.696,27.925,C
128.38,368.436,1.825,52.964,736.307,845.017,27.894,C
125.861,370.25,1.908,53.394,678.62,772.654,27.742,C
124.059,370.328,1.979,54.129,664.888,737.74,27.709,C
123.235,367.311,1.987,55.545,679.496,743.619,27.683,C
124.596,360.807,1.949,56.803,651.122,722.563,27.645,C
132.884,354.171,1.915,55.787,514.69,593.085,27.615,C
140.057,351.724,1.899,52.627,325.59,393.595,27.559,C
197.34,226.55,2.54,26.68,275.88,318.75,28.47,C
206.07,231.85,2.48,29.21,274.06,309.58,28.78,C
225.37,239.45,2.42,35.6,271.61,295.94,29.1,C
207.19,366.32,1.74,72.34,1384.15,670.92,31.14,C
180.68,372.67,1.66,76.07,2103.55,807.85,31.37,C
165.55,366.84,1.68,78.95,2387.3,856.19,30.67,C
161.79,352.88,1.72,76.92,2227.98,832.19,30.35,C
193.89,268.32,2.36,38.45,178.12,194.85,24,C
190.64,283.97,2.2,42.16,148.68,148.22,24.24,C
185.86,313.65,2.01,56.04,123.97,121.2,30.2,C
169.21,352.42,1.78,74.92,107.57,110.15,35.92,C
148.08,388.72,1.59,91.26,115.42,119.84,41.65,C
127.06,411.36,1.62,92.77,139.33,142.28,42.51,C
112.74,396.35,1.89,71.11,186.29,189.75,30.59,C
