GR,AC,DEN,CNL,LLD,LLS,CAL,Type
37.508,241.828,2.495,18.283,25.251,26.619,26.111,CS
38.178,243.071,2.488,19.204,23.655,24.641,26.336,CS
38.443,243.34,2.482,19.643,23.02,24.014,26.541,CS
38.411,242.51,2.483,19.84,22.917,23.971,26.647,CS
39.411,241.004,2.494,20.255,22.554,23.764,26.713,CS
42.813,239.579,2.511,21.228,21.994,23.289,26.705,CS
35.28,262.045,2.464,21.306,30.767,33.479,28.436,CS
64.053,257.773,2.465,18.982,30.833,33.386,27.78,CS
71.302,256.557,2.467,18.362,30.682,33.147,27.467,CS
72.378,256.918,2.466,17.857,30.471,32.959,27.191,CS
70.012,258.644,2.462,17.363,30.712,33.338,26.774,CS
63.185,260.293,2.455,16.676,31.411,34.224,26.644,CS
78.565,205.662,2.634,11.196,65.243,68.452,26.824,CS
73.675,202.222,2.638,10.823,69.688,70.659,26.867,CS
70.859,200.92,2.634,10.695,70.903,70.871,26.951,CS
70.253,202.593,2.627,10.82,69.425,69.424,27.056,CS
74.06,205.921,2.619,11.054,62.162,62.226,27.138,CS
80.173,210.056,2.61,11.315,51.843,52.182,27.308,CS
92.684,229.349,2.622,13.59,27.101,26.873,28.873,CS
78.743,232.082,2.615,13.565,24.797,24.399,28.966,CS
74.746,234.019,2.608,13.814,23.1,22.614,29.12,CS
71.29,222.69,2.58,14.385,21.67,21.286,29.665,CS
64.974,222.542,2.586,13.949,22.55,22.387,29.74,CS
61.284,222.709,2.594,13.6,23.068,22.887,29.751,CS
61.483,222.328,2.602,13.344,24.284,24.09,29.751,CS
62.875,220.782,2.607,13.197,25.078,24.939,29.755,CS
64.642,219.303,2.609,13.168,26.713,26.646,29.764,CS
64.543,218.745,2.612,13.274,28.035,28.232,29.79,CS
64.101,218.563,2.614,13.676,28.318,28.571,29.842,CS
64.053,218.432,2.614,14.327,27.668,27.794,29.878,CS
64.821,218.9,2.609,15.189,25.991,25.855,29.96,CS
38.937,198.377,2.49,16.979,17.622,22.826,23.57,CS
39.051,205.896,2.482,17.406,15.557,20.239,23.626,CS
39.296,215.271,2.474,17.816,13.508,17.636,23.641,CS
39.617,225.15,2.466,18.297,11.753,15.384,23.565,CS
39.929,234.586,2.458,18.89,10.37,13.597,23.382,CS
40.14,243.01,2.452,19.536,9.307,12.219,23.153,CS
57.58,195.722,2.6,14.829,99.471,97.925,24.144,CS
54.884,192.962,2.611,14.659,122.361,119.136,24.14,CS
54.057,190.899,2.62,14.705,142.237,137.044,24.225,CS
54.922,189.655,2.629,14.835,154.055,146.957,24.202,CS
57.142,189.276,2.635,14.994,154.275,145.777,24.14,CS
60.331,189.829,2.638,15.247,142.611,133.547,24.419,CS
64.037,191.458,2.636,15.717,122.069,113.373,24.34,CS
67.744,194.323,2.634,16.489,97.677,90.096,24.14,CS
70.942,198.565,2.63,17.542,74.203,68.121,24.14,CS
73.142,204.099,2.623,18.718,55.082,50.484,24.14,CS
74.02,210.539,2.612,19.787,41.456,38.071,24.14,CS
73.431,217.179,2.595,20.543,32.803,30.271,24.14,CS
71.468,223.381,2.577,20.898,27.593,25.617,24.14,CS
68.423,228.874,2.559,20.9,24.348,22.734,24.14,CS
77.209,243.847,2.506,16.687,50.883,45.902,26.61,CS
83.355,242.366,2.515,18.663,59.002,53.597,26.347,CS
89.388,241.422,2.519,20.878,71.405,65.618,26.215,CS
94.69,240.854,2.518,22.844,87.523,81.086,26.21,CS
98.674,240.379,2.513,23.852,103.49,95.934,26.263,CS
100.501,240.195,2.51,23.678,102.446,95.163,26.335,CS
100.56,240.003,2.512,23.071,91.538,85.326,26.41,CS
98.757,239.648,2.52,21.788,77.158,71.459,26.485,CS
95.05,239.083,2.534,19.803,63.157,57.216,26.539,CS
89.482,238.369,2.55,17.316,50.791,44.824,26.593,CS
82.564,237.654,2.564,15.929,44.276,38.757,26.665,CS
76.399,237.002,2.572,14.93,40.702,35.907,26.743,CS
71.894,236.423,2.576,14.146,38.849,34.951,26.822,CS
69.612,235.906,2.578,13.615,38.183,35.091,26.9,CS
69.694,235.415,2.578,13.58,38.805,35.998,26.946,CS
71.869,234.851,2.58,13.904,40.025,37.332,26.955,CS
74.435,234.205,2.583,14.242,41.346,38.893,26.955,CS
76.958,233.554,2.587,14.417,42.338,40.161,26.956,CS
79.163,232.981,2.588,14.421,42.715,40.709,26.956,CS
80.958,232.569,2.586,14.417,42.357,40.229,26.954,CS
82.767,232.373,2.576,14.875,41.551,38.826,26.952,CS
84.79,232.304,2.564,15.475,41.078,37.706,26.95,CS
86.957,232.358,2.553,16.03,41.152,37.347,26.946,CS
89.136,232.541,2.547,16.409,41.623,37.727,26.944,CS
91.148,232.863,2.548,16.535,41.974,38.308,26.976,CS
92.461,233.411,2.555,16.191,41.109,37.563,27.043,CS
92.911,233.972,2.56,15.956,39.719,35.99,27.119,CS
92.283,234.398,2.56,15.881,38.214,34.155,27.196,CS
90.515,234.609,2.553,15.861,36.833,32.432,27.274,CS
87.716,234.605,2.542,15.627,35.644,30.991,27.32,CS
84.322,234.35,2.533,15.152,35.145,30.659,27.331,CS
81.124,233.873,2.532,14.67,35.659,31.526,27.335,CS
78.378,233.151,2.537,14.316,36.715,32.838,27.338,CS
76.188,232.211,2.548,14.167,37.812,33.974,27.34,CS
74.469,231.126,2.56,14.236,38.423,34.46,27.342,CS
72.91,230.183,2.566,14.724,37.791,33.725,27.343,CS
71.143,229.54,2.565,15.02,36.646,32.658,27.342,CS
69.244,229.229,2.56,15.068,35.239,31.421,27.342,CS
67.416,229.241,2.552,15.025,33.804,30.175,27.376,CS
65.969,229.524,2.544,15.267,32.549,29.073,27.419,CS
65.389,229.997,2.538,15.633,31.181,27.856,27.445,CS
65.172,230.519,2.531,15.575,30.164,26.888,27.526,CS
65.046,231.066,2.524,15.491,29.587,26.312,27.637,CS
98.679,194.718,2.66,16.462,82.201,66.258,24.4,CS
95.81,195.094,2.658,15.82,97.266,76.688,24.356,CS
95.85,196.018,2.654,16.302,109.844,87.051,24.352,CS
98.558,197.978,2.648,17.546,108.143,88.422,24.358,CS
102.845,201.684,2.654,18.855,97.238,77.323,24.367,CS
105.835,206.251,2.654,19.743,78.631,60.046,24.371,CS
106.805,210.28,2.647,20.079,66.449,49.896,24.375,CS
106.635,213.091,2.645,20.07,61.559,46.149,24.374,CS
108.064,213.648,2.649,20.191,57.982,44.026,24.372,CS
112.302,214.213,2.651,20.767,58.134,44.509,24.369,CS
118.668,214.287,2.647,21.673,58.582,45.342,24.373,CS
124.263,214.353,2.647,22.104,59.771,46.356,24.379,CS
53.14,233.425,2.365,28.46,13.771,11.898,27.482,CS
